name,sku,price,stars,link,image_url,reviews,seller,category,description
Pepsodent Sensitive Expert - Whitening,PE730HB0QLLUZNAFAMZ,620,4.4,https://www.jumia.com.ng/pepsodent-sensitive-expert-whitening-32187644.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/678123/1.jpg?7533,65,jumia,health and beauty,"	Potassium mineral which provides sensitivity relief in 30 seconds.	HAP mineral, which is the same mineral natural enamel is made of. It helps restore enamel density.	Whitening minerals which help to restore the whiteness of enamel	Whitening	Relief within 30 seconds	Specifications	SKU: PE730HB0QLLUZNAFAMZ	Skin Type: Combination	Color: Pink	Model: Pepsodent sensitive expert - Gum care	Product Line: Unilever Nigeria Plc	Weight (kg): 0.1"
Samsung 40-Inch FHD LED TV N5000 - Black + 1 Year Official Warranty,SA948EL0K7462NAFAMZ,"78,990",4.4,https://www.jumia.com.ng/samsung-40-inch-fhd-led-tv-n5000-black-1-year-official-warranty-41342933.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/924314/1.jpg?0387,139,jumia,electronics,"	40-Inch LED TV	PurColor	1920 x 1080 Screen Resolution	Quad Core Processor	Virtual Surround DTS Studio Sound	2 HDMI, 1 USB	Wide color enhancer	Clean view	Slim Design	Connect share movie	What’s in the box	User ManualRemote controlPower CableBatteries (for Remote Control)"
"Hp 255, AMD DUAL CORE, 500gb Hdd, 4gb Ram, Webcam, Bluetooth, Win 10.",HP246EL0HIT1DNAFAMZ,"100,000",4.2,https://www.jumia.com.ng/hp-255-amd-dual-core-500gb-hdd-4gb-ram-webcam-bluetooth-win-10.-hp-mpg326254.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/430913/1.jpg?6067,5,jumia,computing,"	Windows 10 Pro.	7th Generation AMD E2 APU processor (E2-9000e); 7th Generation AMD A9 APU processor (A9-9425 model); 7th Generation AMD A6 APU processor (A6-9220 model)	AMD E2-9000e APU with Radeon™ R2 Graphics (1.5 GHz, up to 2 GHz, 1 MB cache, 2 cores); AMD A9-9425 APU with Radeon™ R5 Graphics (3.1 GHz base frequency, up to 3.7 GHz burst frequency, 1 MB cache, 2 cores)	AMD A6-9225 APU with Radeon™ R4 Graphics	500 GB up to 1 TB SATA (5400 rpm)	DVD-Writer (Option of no optical drive.)	2 Integrated stereo speakers	Intel® Dual Band Wireless-AC 3168 802.11 a/b/g/n/ac (1x1) Wi-Fi® and Bluetooth® 4.2 Combo (non-vPro	2 USB 3.1 Gen 1; 1 USB 2.0; 1 HDMI 1.4b; 1 VGA; 1 RJ-45; 1 headphone/microphone combo; 1 AC power	Full-sized island-style with numeric keypad, Touchpad with multi-touch gestures enabled.	HP TrueVision HD camera; HP VGA camera	3-cell, 31 Wh Li-ion	What’s in the box	A laptop and charger."
Langsdom LANGSDOM JM26 Wired In-ear Earphones With Microphone,LA662MT1GUJWGNAFAMZ,"1,590",3.0,https://www.jumia.com.ng/langsdom-langsdom-jm26-wired-in-ear-earphones-with-microphone-40556788.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/88/765504/1.jpg?5060,2,jumia,phones and tablets,"	In-ear headphone with 10mm driver unit provides natural clear sound and super enhanced bass.	Noise Isolating in-ear design blocks ambient noise to help you focus on listening pleasure.	High-quality in-line microphone and remote allow seamless control of phone calls, music and volume.	3.5mm headphone is suitable for smart phone, Tablet PC, Laptop, MP3 and other 3.5mm audio devices.	Ear fit design, comfortable to wear, not easy to fall, suitable for sports and daily use.	What’s in the box	1 * 3.5mm Headphone	1 * Clip"
JGeTters Skyros Multi Metallic Slide Slippers - Multicolour,JG276SH0EWDD2NAFAMZ,"2,890",3.4,https://www.jumia.com.ng/jgetters-skyros-multi-metallic-slide-slippers-multicolour-43942052.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/25/024934/1.jpg?0148,14,jumia,fashion,"	Material: Synthetic Leather	Colour: Multi(Rose Gold,Gold,Silver)	Sole colour/texture may vary	Style: Casual	Slip-on Wear	Comfy Design	Handmade	Specifications	SKU: JG276SH0EWDD2NAFAMZ	Fastening: Slip On	Heel Type: Flat	Shoe type [P]: Sandals & Flip Flops	Color: Multicolour	Main Material: Synthetic Leather	Model: Slippers	Product Line: SynGeTters world	Weight (kg): 0.4"
Video Camera Camcorder Tripod with Tablet & Phone Holder,2472560,"5,000",5,https://www.konga.com/product/video-camera-camcorder-tripod-with-tablet-and-phone-holder-2472560,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/V/i/Video-Camera-Camcorder-Tripod-with-Tablet-Phone-Holder-7104465_1.jpg",2,konga,electronics,"The FT-810 Tripod .is a combination of Tripod and 3 way head. With a carrying length of only approx. 35.5CM, this set is ideal for the on the go and indespensable for photo travels. The aluminum material is very lightweight, but nevertheless very sturdy. sp enough load capacity and stability are given. Through the integrated crank you can adjust the height over three segments on uo to 109CM due to youe requirement. The load capacity of the head is approx. 2kg and therewith ideally suitable for compact and card cameras DV and mini projector.	2 in 1 Tablet And Phone Holder Clip Mount For Selfie Stick And Tripod included	*Phone Clip range: 5.8-8.5cm (suitable for 3.5-5.5"" cellphone)	*Tablet Clip range: 11-19cm (suitable for 7-10"" tablet pc)	*Material is: high quality ABS body+stainless steel spring+silicone mat	Mount your devices or mobile device to any standard tripod - with this Bracket. Including 2 different sizes clip in one, this accessory is designed and engineered to work with all smart phones tablet, GPS and so on.	Versatile Tripod Mount Adapter: One adapter fits both smartphones and tablets.	Universal Phone Holder: Designed to fit most smartphones. Width adjustment 55-83 mm (2.16-3.27 inches). Fits iPhone 6S Plus, 6S, iPhone 6 Plus, 6, iPhone 5S, 5, 4S, Samsung Galaxy S6, S5, S4, Samsung Galaxy Not 4, Note 3, LG G4, G3, G2, HTC One M8, Motorola Moto X G, Nexus 6 5, Sony Xperia Z2, and More Phones	Universal Tablet Holder: Designed to fit most 7-10 inch tablets with or without a case. Width adjustment 110-190mm (4.3-7.5 inches). Fits iPad Air 2, Air, iPad Mini 4, 3, 2, Mini, Samsung Galaxy Tab series, and more tablets.	Easy to attach your phone to a standard 1/4""-20 tripod thread. Spring loaded to prevent your device from falling out.	Made from High Grade ABS Plastic: Strong, Lightweight and Ultra-Portable Size. Designed for stable shots, group photos, and videos."
"Bm Satellite HAND MIXER (7 SPEED SETTINGS, 200 Watts) -BM-341",AP776HL1B2VGRNAFAMZ,"3,895",4.4,https://www.jumia.com.ng/hand-mixer-7-speed-settings-200-watts-bm-341-bm-satellite-mpg1270261.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/79/076043/1.jpg?0829,42,jumia,home and office,"	7 SPEED HANDMIXER	100W WITH FULL COPPER MOTOR	220-240V, 50/60 Hz-	2 WIRE CABLE  AND BS PLUG	Eject button for releasing beaters and dough hooks	What’s in the box	Instruction Manual	Hand Mixer with beaters & dough hooks"
Galanz 20l Microwave Oven- White,4488886,"15,980",5,https://www.konga.com/product/galanz-galanz-20l-microwave-oven-white-4488886,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/G/S/118566_1570457405.jpg",4,konga,home and office,"Colour	White	Warranty Period	1 Year	Brand	Power (Watts)	Under 1000 Watts	6 Microwave Power Levels	Speedy Defrost / Weight Defrost (meat, poultry, seafood)	Power output: 700W/230-240V~50Hz	White Painting Cavity. White housing"
"HP Notebook 15-RB006NIA AMD A4 Dual Core - 4GB RAM, 500GB HDD - FreeDos + 15.6-Inch BAG",4527646,"85,500",5,https://www.konga.com/product/hp-notebook-15-rb006nia-amd-a4-dual-core-4gb-ram-500gb-hdd-freedos-15-6-inch-bag-4527646,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/F/W/_1576485754.jpg",1,konga,computing,"Notebook 15 AMD A4 - 4GB RAM, 500GB HDD + FREE 15.6"" TOPLOAD BAG	Power through your day with a stylish laptop created to keep you connected, and on top of everyday tasks. With reliable	performance and long lasting battery life —you can easily surf, stream and stay in touch with what matters most.	Operating system : FreeDOS 2.0	Processor : AMD Dual-Core E2-9000e (1.5 GHz base frequency, up to 2 GHz burst frequency, 1 MB cache)	Processor family : AMD Dual-Core E-Series processor	Memory : 4 GB DDR4-1866 SDRAM (1 x 4 GB) Transfer rates up to 1866 MT/s.	Storage : 500 GB 5400 rpm SATA DVD-Writer	Graphics : Integrated: AMD Radeon™ R2 Graphics;	Audio : Dual speakers	Display : 39.6 cm (15.6"") diagonal HD SVA anti-glare WLED-backlit (1366 x 768)	Power : 45 W AC power adapter;	Battery type : 3-cell, 31 Wh Li-ion;	User-replaceable battery: Supports battery fast charge: approximately 90% in 90 minutes	Target battery life : Up to 11 hours estimated battery time	Maximum battery life video playback Up to 7 hours and 30 minutes	Connectivity : Network interface Integrated 10/100/1000 GbE LAN	Wireless connectivity : 802.11b/g/n (1x1) Wi-Fi® and Bluetooth® 4.0 combo	Ports : 2 USB 3.1 Gen 1 (Data transfer only); 1 USB 2.0; 1 HDMI; 1 RJ-45; 1 headphone/microphone combo 1 multi-format SD media card reader	Webcam : HP Webcam with integrated digital microphone"
Axe Black Deodorant Aerosol 150ml,AX882HB1A9PI5NAFAMZ,850,4.3,https://www.jumia.com.ng/axe-black-deodorant-aerosol-150ml-39251777.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/715293/1.jpg?0185,13,jumia,health and beauty,	body spray	body spray for men	daily fragrance	daily fragrance for men	Men's body spray with fresh scent.	For use all over body	deodorant body spray	FIND YOUR MAGIC with AXE deodorant for men	Fine fragrance of Oud Wood and Dark Vanilla.	Specifications	SKU: AX882HB1A9PI5NAFAMZ	Skin Type: All Skin Types	Color: Black	Model: Deodorant	Product Line: Unilever Nigeria Plc	Weight (kg): 0.15
